2012-06-20 13:08:14,652 | INFO  |  |  | main | MLog - MLog clients using log4j logging.
2012-06-20 13:08:15,076 | INFO  |  |  | main | C3P0Registry - Initializing c3p0-0.9.2-pre2 [built 18-May-2012 10:14:10 -0400; debug? true; trace: 10]
2012-06-20 13:08:15,177 | INFO  |  |  | main | AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 10, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> c3p0_test_table, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 2rxedm8o36yrtt5zftwd|7f636e4e, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 2rxedm8o36yrtt5zftwd|7f636e4e, idleConnectionTestPeriod -> 7200, initialPoolSize -> 10, jdbcUrl -> jdbc:mysql://utopiainstance1.cx558rzcwi45.us-west-1.rds.amazonaws.com/lostnations, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 360000, maxIdleTimeExcessConnections -> 300, maxPoolSize -> 60, maxStatements -> 0, maxStatementsPerConnection -> 30, minPoolSize -> 10, numHelperThreads -> 6, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 7200, usesTraditionalReflectiveProxies -> false ]
2012-06-20 13:08:16,592 | DEBUG |  |  | main | DBConnection - num_connections: 0
2012-06-20 13:08:16,593 | DEBUG |  |  | main | DBConnection - num_busy_connections: 0
2012-06-20 13:08:16,593 | DEBUG |  |  | main | DBConnection - num_idle_connections: 0
2012-06-20 13:08:16,619 | INFO  |  |  | Thread-2 | GameServer - init : Server initializing
2012-06-20 13:08:16,619 | INFO  |  |  | Thread-2 | GameServer - loadEventControllers : Loading event controllers
2012-06-20 13:08:16,702 | INFO  |  |  | Thread-2 | GameServer - loading class: AdminController$1
2012-06-20 13:08:16,749 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: AdminController$1.class
2012-06-20 13:08:16,749 | INFO  |  |  | Thread-2 | GameServer - loading class: AdminController
2012-06-20 13:08:16,752 | DEBUG |  |  | main | BuildStructJobRetrieveUtils - setting static map of build struct job id to build struct job
2012-06-20 13:08:16,842 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: A_ADMIN_UPDATE
2012-06-20 13:08:16,842 | INFO  |  |  | Thread-2 | GameServer - loading class: ArmoryController$1
2012-06-20 13:08:16,846 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: ArmoryController$1.class
2012-06-20 13:08:16,846 | INFO  |  |  | Thread-2 | GameServer - loading class: ArmoryController
2012-06-20 13:08:16,895 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_ARMORY_EVENT
2012-06-20 13:08:16,896 | INFO  |  |  | Thread-2 | GameServer - loading class: BattleController$1
2012-06-20 13:08:16,900 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: BattleController$1.class
2012-06-20 13:08:16,900 | INFO  |  |  | Thread-2 | GameServer - loading class: BattleController
2012-06-20 13:08:16,982 | INFO  |  |  | Thread-2 | GameServer - loaded controller for event: C_BATTLE_EVENT
2012-06-20 13:08:16,982 | INFO  |  |  | Thread-2 | GameServer - loading class: ChangeUserLocationController$1
2012-06-20 13:08:16,986 | WARN  |  |  | Thread-2 | GameServer - class file does not extend EventController: ChangeUserLocationController$1.class
2012-06-20 13:08:16,986 | INFO  |  |  | Thread-2 | GameServer - loading class: ChangeUserLocationController
