DB ID:,Level:,Item Name: ,Rarity:,Weapon Type:,Pick This:,,DB ID:,Level:,Item Name: ,Rarity:,Weapon Type:,Pick This:,,DB ID:,Level:,Item Name: ,Rarity:,Weapon Type:,Pick This:
1,1,Rusty Dagger,Common,Weapon,x,,120,1,Cracked Bow,Common,Weapon,,,185,1,Tree Branch,Common,Weapon,
2,1,Short Blade,Common,Weapon,,,121,1,Wooden Bow,Common,Weapon,x,,186,1,Novice's Rod,Common,Weapon,
3,1,Captain's Sword,Uncommon,Weapon,x,,122,1,Captain's Bow,Uncommon,Weapon,,,187,1,Trainer's Staff,Uncommon,Weapon,
4,1,Fire Dagger,Rare,Weapon,,,123,1,Scout,Rare,Weapon,,,188,1,Orb of Darkness,Rare,Weapon,x
5,6,Training Sword,Common,Weapon,,,124,6,Long Bow,Common,Weapon,x,,189,6,Wood Staff,Common,Weapon,
6,6,Brass Knuckles,Common,Weapon,x,,125,6,Cracked Crossbow,Common,Weapon,,,190,6,Magic Stick,Common,Weapon,
7,6,Long Sword,Uncommon,Weapon,x,,126,6,Marksman's Bow,Uncommon,Weapon,,,191,6,Staff of Wizardry,Uncommon,Weapon,
8,6,Maurader,Rare,Weapon,,,127,6,Accel,Rare,Weapon,x,,192,6,Templar's Touch,Rare,Weapon,
9,6,Sinner's End,Rare,Weapon,x,,128,6,Sequoia,Rare,Weapon,,,193,6,Byron's Scepter,Rare,Weapon,
10,6,Butterfly,Epic,Weapon,,,129,6,Arrowsong,Epic,Weapon,,,194,6,Midas Touch,Epic,Weapon,x
11,11,Broadsword,Common,Weapon,x,,130,11,Light Bow,Common,Weapon,,,195,11,Magic Wand,Common,Weapon,
12,11,Battle Axe,Common,Weapon,,,131,11,Wooden Crossbow,Common,Weapon,x,,196,11,Mahogany Wand,Common,Weapon,
13,11,Battle Hammer,Uncommon,Weapon,,,132,11,Hunter's Bow,Uncommon,Weapon,,,197,11,Ivory Staff,Uncommon,Weapon,x
14,11,Golden Mace,Rare,Weapon,x,,133,11,Minato,Rare,Weapon,,,198,11,Rod of Necromacy,Rare,Weapon,
15,11,Mjolnir,Rare,Weapon,,,134,11,Starfall,Rare,Weapon,,,199,11,Dagon,Rare,Weapon,x
16,11,Spartacus,Epic,Weapon,,,135,11,Soulstring,Epic,Weapon,,,200,11,Ice Shard,Epic,Weapon,x
17,16,Javelin,Common,Weapon,,,136,16,Steel Crossbow,Common,Weapon,,,201,16,Orb of Fire,Common,Weapon,x
18,16,Claymore,Common,Weapon,,,137,16,Strong Bow,Common,Weapon,x,,202,16,Tome of Magic,Common,Weapon,
19,16,Scimitar,Uncommon,Weapon,x,,138,16,Compound Bow,Uncommon,Weapon,,,203,16,Blackbone Wand,Uncommon,Weapon,
20,16,Halbert,Uncommon,Weapon,,,139,16,Precision Bow,Uncommon,Weapon,x,,204,16,Staff of Cyprus,Uncommon,Weapon,
