level_id,old_exp,new_exp
1,0,0
2,8,7
3,26,21
4,58,55
5,118,122
6,204,235
7,321,408
8,474,655
9,668,988
10,948,1433
11,1286,2003
12,1689,2718
13,2162,3594
14,2710,4649
15,3430,5902
16,4480,7370
17,5680,9080
18,7130,11049
19,8830,13297
20,11830,15847
21,15130,18720
22,18830,21938
23,22930,25523
24,27430,29498
25,34630,33887
26,42330,39173
27,50530,44459
28,59230,50230
29,68430,56510
30,82430,63324
31,96930,70726
32,111930,78683
33,127430,87249
34,143430,96450
35,159930,106313
36,176930,116921
37,194430,128185
38,212430,140190
39,230930,152963
40,272430,166531
41,314680,181017
42,357680,196257
43,401430,212375
44,445930,229399
45,491180,247358
46,537180,266427
47,583930,286341
48,631430,307276
49,679680,329261
50,788180,352325
51,897680,376710
52,1008180,402022
53,1119680,428503
54,1232180,456183
55,1345680,485092
56,1460180,515552
57,1575680,547011
58,1692180,579791
59,1809680,613924
60,2073680,649440
61,2338930,686758
62,2605430,725136
63,2873180,764992
64,3142180,806359
65,3412430,849268
66,3683930,893752
67,3956680,939843
68,4230680,987573
69,4505930,1036976
70,5125242,1088084
71,5746054,1140930
72,6368366,1195548
73,6992178,1251971
74,7617490,1310232
75,8244302,1370365
76,8872614,1432404
77,9502426,1496383
78,10133738,1562336
79,10766550,1630297
80,12199377,1700301
81,13634204,1772382
82,15071031,1846575
83,16509858,1922914
84,17920685,2001435
85,19333512,2082172
86,20748339,2165161
87,22165166,2250437
88,23583993,2338036
89,25004820,2427993
90,28201680,2520345
91,31401040,2615127
92,34602900,2712375
93,37807260,2812125
94,41014120,2914413
95,44223480,3019276
96,47435340,3126751
97,50649700,3236874
98,53866560,3349682
99,57143858,3465211
100,64517778,3583499
